Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,136.000000,144.929993,135.279999,138.000000,138.000000,7301100
2020-09-09,141.929993,143.479996,138.130005,142.029999,142.029999,3896300
2020-09-10,142.000000,146.100006,138.029999,139.500000,139.500000,2591900
2020-09-11,142.270004,142.990005,138.074997,139.509995,139.509995,2337000
2020-09-14,143.990005,149.220001,143.001007,147.820007,147.820007,3586100
2020-09-15,150.000000,150.589996,145.289993,149.990005,149.990005,3010300
2020-09-16,148.960007,151.240005,146.729996,147.580002,147.580002,1536100
2020-09-17,143.800003,149.259995,141.854996,149.080002,149.080002,3154400
2020-09-18,150.050003,150.979996,143.880005,147.550003,147.550003,2542800
2020-09-21,143.000000,150.880005,142.639999,150.699997,150.699997,2230100
2020-09-22,151.089996,152.750000,145.899994,152.119995,152.119995,3080600
2020-09-23,150.750000,155.539993,146.639999,147.880005,147.880005,3441800
2020-09-24,144.940002,152.449997,142.406006,150.059998,150.059998,3102000
2020-09-25,150.740005,157.800003,149.550003,155.289993,155.289993,4289600
2020-09-28,159.000000,162.000000,157.009995,159.970001,159.970001,3658100
2020-09-29,159.410004,161.509995,154.389999,155.149994,155.149994,2500400
2020-09-30,155.100006,158.539993,153.860001,154.039993,154.039993,2290500
2020-10-01,157.000000,160.440002,154.520004,160.000000,160.000000,3054200
2020-10-02,154.500000,160.089996,154.330002,155.360001,155.360001,3017000
2020-10-05,158.880005,162.050003,155.210007,157.580002,157.580002,3345900
2020-10-06,159.000000,167.940002,158.130005,163.440002,163.440002,5642700
2020-10-07,167.429993,171.300003,165.449997,167.419998,167.419998,4245600
2020-10-08,170.490005,172.000000,168.149994,169.289993,169.289993,3370800
2020-10-09,170.000000,172.500000,166.279999,172.119995,172.119995,2645500
2020-10-12,175.000000,175.600006,166.901001,167.179993,167.179993,3050400
2020-10-13,170.000000,172.470001,166.380005,172.399994,172.399994,2064100
2020-10-14,174.300003,176.899994,166.330002,167.630005,167.630005,2208300
2020-10-15,165.800003,169.309998,161.839996,169.300003,169.300003,1994500
2020-10-16,170.169998,171.610001,164.880005,165.199997,165.199997,2158300
2020-10-19,165.419998,168.179993,161.949997,162.839996,162.839996,2567700
2020-10-20,163.000000,169.490005,162.500000,166.869995,166.869995,1921600
2020-10-21,167.229996,172.119995,163.779999,168.380005,168.380005,2175600
2020-10-22,168.789993,169.789993,159.600006,161.630005,161.630005,3112700
2020-10-23,162.000000,163.117004,158.789993,162.960007,162.960007,1841200
2020-10-26,160.399994,164.673004,159.410004,162.360001,162.360001,1965700
2020-10-27,164.679993,172.449997,162.949997,172.289993,172.289993,3340200
2020-10-28,167.490005,167.990005,161.259995,163.240005,163.240005,2794100
2020-10-29,166.419998,169.979996,163.453003,167.020004,167.020004,1902300
2020-10-30,163.419998,164.740005,155.330002,157.699997,157.699997,3226900
2020-11-02,160.399994,164.940002,157.550003,159.669998,159.669998,2719800
2020-11-03,161.110001,169.220001,161.000000,166.389999,166.389999,2081300
